"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","UC Riverside",66.82,282,66.9578,254,103.82,117,102.851,163,94.0801,28,96.2158,68,6.6347,111
"2021","UC San Diego",69.2322,172,70.0235,98,97.8434,240,101.244,189,109.987,326,108.314,295,-7.06977,243
"2021","UC Santa Barbara",66.6897,288,66.0954,295,109.661,31,109.327,66,94.1696,29,97.094,80,12.2333,69
"2021","UCF",67.9533,230,67.4611,227,98.4945,222,106.069,110,101.505,171,98.029,97,8.0399,102
"2021","UCLA",65.1996,328,64.6252,334,108.7,41,114.229,18,102.491,205,97.9382,95,16.2907,43
"2021","UMass Lowell",69.2522,171,69.3251,129,99.134,211,99.7886,223,102.407,203,105.737,251,-5.94864,228
"2021","UMBC",68.7244,188,67.8642,207,101.509,164,100.752,202,94.6609,36,100.502,133,0.250023,168
"2021","UMKC",64.1331,340,62.8572,352,97.315,249,95.524,286,100.83,154,100.481,132,-4.95747,217
"2021","UNC Asheville",69.8806,143,68.4871,173,102.942,141,100.815,201,102.499,206,107.448,281,-6.63292,236
"2021","UNC Greensboro",70.3313,118,68.4642,174,104.391,104,104.247,127,95.5017,46,96.0497,65,8.19763,99
"2021","UNC Wilmington",70.0283,134,69.2958,132,104.911,95,102.213,172,105.079,261,109.174,310,-6.96126,240
"2021","UNLV",66.7065,286,66.336,281,101.179,174,104.015,133,104.425,248,103.987,210,0.0281299,170
"2021","USC",67.5611,249,67.2685,236,108.537,46,113,28,94.8746,40,90.6379,20,22.3622,14
"2021","USC Upstate",68.696,191,68.5731,166,95.5876,277,94.9295,293,107.425,295,109.161,309,-14.2311,317
"2021","UT Arlington",70.2587,121,69.5374,117,98.367,228,98.0646,249,101.973,189,106.045,259,-7.98035,252
"2021","UT Rio Grande Valley",71.7517,70,69.9251,103,91.3584,326,91.487,328,97.9872,79,102.84,190,-11.3532,290
